,Name,New_Price
162,Honda Amaze VX i-DTEC," Rs. 7.04 - 11.25 Lakh
"
163,Maruti Wagon R LXI," Rs. 7.04 - 11.25 Lakh
"
164,Mercedes-Benz New C-Class C 220d Avantgarde Edition C," Rs. 5.65 - 7.48 Lakh
"
165,Nissan Terrano XV Premium 110 PS Anniversary Edition," Rs. 5.65 - 7.48 Lakh
"
166,Ford Figo Diesel," Rs. 10.00 - 14.65 Lakh
"
167,Tata Indica V2 DLS BSII," Rs. 10.00 - 14.65 Lakh
"
168,Chevrolet Beat LT," Rs. 3.77 - 5.11 Lakh
"
169,Volkswagen Polo Diesel Comfortline 1.2L," Rs. 3.77 - 5.11 Lakh
"
172,Hyundai Santa Fe 4x4 AT," Rs. 9.99 Lakh
"
173,Hyundai i20 1.2 Magna Executive," Rs. 9.99 Lakh
"
174,Hyundai i20 Sportz 1.4 CRDi," Rs. 7.04 - 11.25 Lakh
"
175,Toyota Innova 2.5 Z Diesel 7 Seater," Rs. 7.04 - 11.25 Lakh
"
176,Honda City i VTEC V," Rs. 36.33 Lakh
"
177,BMW X1 sDrive20d," Rs. 36.33 Lakh
"
178,Hyundai Grand i10 CRDi Era," Rs. 50.80 - 53.80 Lakh
"
179,Maruti Ciaz 1.3 Alpha," Rs. 50.80 - 53.80 Lakh
"
180,Skoda Rapid Leisure 1.6 TDI MT," Rs. 9.41 - 12.47 Lakh
"
181,Hyundai Accent CRDi," Rs. 9.41 - 12.47 Lakh
"
182,Volkswagen Polo GT 1.5 TDI," Rs. 11.11 - 20.50 Lakh
"
183,Honda Jazz 1.2 VX i VTEC," Rs. 11.11 - 20.50 Lakh
"
184,Hyundai i10 Era," Rs. 5.98 - 8.62 Lakh
"
185,Hyundai Tucson 2.0 e-VGT 2WD AT GLS," Rs. 5.98 - 8.62 Lakh
"
186,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER," Rs. 6.21 - 10.51 Lakh
"
187,Maruti Swift VXI BSIV," Rs. 6.21 - 10.51 Lakh
"
188,Hyundai Grand i10 Magna," Rs. 11.19 - 20.15 Lakh
"
189,Hyundai i20 1.2 Sportz," Rs. 11.19 - 20.15 Lakh
"
190,Mercedes-Benz New C-Class C 220 CDI CLASSIC," Rs. 7.04 - 11.25 Lakh
"
191,Maruti Ritz ZDi," Rs. 7.04 - 11.25 Lakh
"
192,Hyundai Creta 1.6 CRDi SX," Rs. 4.62 - 7.01 Lakh
"
193,Maruti A-Star Vxi," Rs. 4.62 - 7.01 Lakh
"
194,Renault Duster 110PS Diesel RXZ Option," Rs. 11.19 - 20.15 Lakh
"
195,Fiat Grande Punto 1.3 Emotion Pack (Diesel)," Rs. 11.19 - 20.15 Lakh
"
196,BMW X3 xDrive30d M Sport," Rs. 4.73 - 7.93 Lakh
"
197,Hyundai i10 Sportz," Rs. 4.73 - 7.93 Lakh
"
198,Toyota Innova 2.5 G4 Diesel 7-seater," Rs. 9.82 Lakh
"
199,Maruti Zen VXI BSII," Rs. 9.82 Lakh
"
200,Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV," Rs. 11.19 - 20.15 Lakh
"
201,Ford EcoSport 1.0 Ecoboost Titanium Plus," Rs. 11.19 - 20.15 Lakh
"
202,Maruti Swift Dzire ZDI," Rs. 7.91 - 11.69 Lakh
"
203,Maruti Alto 800 LXI," Rs. 7.91 - 11.69 Lakh
"
204,Honda City 1.5 S MT," Rs. 4.23 - 6.21 Lakh
"
205,Audi Q7 3.0 TDI Quattro Technology," Rs. 4.23 - 6.21 Lakh
"
206,Skoda Laura 1.9 TDI AT Ambiente," Rs. 88.70 - 97.85 Lakh
"
207,Hyundai Verna 1.6 SX VTVT (O)," Rs. 88.70 - 97.85 Lakh
"
208,Honda City 1.5 V AT," Rs. 11.07 - 17.55 Lakh
"
209,Hyundai i20 Magna Optional 1.4 CRDi," Rs. 11.07 - 17.55 Lakh
"
210,Hyundai i20 Sportz AT 1.4," Rs. 7.04 - 11.25 Lakh
"
211,Volkswagen Vento Diesel Highline," Rs. 7.04 - 11.25 Lakh
"
214,Maruti Wagon R LXI Minor," Rs. 72.90 Lakh
"
215,Volkswagen Jetta 2007-2011 2.0 TDI Comfortline," Rs. 72.90 Lakh
"
218,Volkswagen Polo Petrol Trendline 1.2L," Rs. 65.72 - 72.06 Lakh
"
219,Maruti Alto K10 LXI," Rs. 65.72 - 72.06 Lakh
"
220,Tata Indigo LX," Rs. 4.23 - 6.21 Lakh
"
221,Mercedes-Benz GLA Class 200 CDI SPORT," Rs. 4.23 - 6.21 Lakh
"
226,Tata Sumo Delux," Rs. 25.56 Lakh
"
227,Tata Indica Vista Aura 1.3 Quadrajet," Rs. 25.56 Lakh
"
228,Tata Indigo LS Dicor," Rs. 4.14 - 6.70 Lakh
"
229,Maruti Ertiga Paseo VXI," Rs. 4.14 - 6.70 Lakh
"
230,Honda Accord 2.4 A/T," Rs. 11.19 - 20.15 Lakh
"
231,Maruti Swift Dzire VDi," Rs. 11.19 - 20.15 Lakh
"
232,Ford Fiesta EXi 1.4 TDCi Ltd," Rs. 6.84 - 10.19 Lakh
"
233,Honda City ZX GXi," Rs. 6.84 - 10.19 Lakh
"
234,BMW 6 Series 640d Gran Coupe," Rs. 11.92 - 16.65 Lakh
"
235,Maruti Zen Estilo LXI Green (CNG)," Rs. 11.92 - 16.65 Lakh
"
236,Hyundai i20 1.4 CRDi Asta," Rs. 7.52 - 13.04 Lakh
"
237,Hyundai i10 Sportz AT," Rs. 7.52 - 13.04 Lakh
"
238,Volkswagen Polo Petrol Comfortline 1.2L," Rs. 5.98 - 8.62 Lakh
"
239,Toyota Corolla H4," Rs. 5.98 - 8.62 Lakh
"
240,Tata Manza ELAN Quadrajet BS IV," Rs. 11.14 - 19.99 Lakh
"
241,Skoda Octavia Ambition Plus 2.0 TDI AT," Rs. 11.14 - 19.99 Lakh
"
244,Hyundai EON D Lite Plus," Rs. 4.14 - 6.70 Lakh
"
245,Tata Manza Club Class Quadrajet90 LS," Rs. 4.14 - 6.70 Lakh
"
246,Chevrolet Spark 1.0 LS," Rs. 8.00 - 15.60 Lakh
"
247,Honda CR-V RVi MT," Rs. 8.00 - 15.60 Lakh
"
248,Maruti Swift Dzire VXi AT," Rs. 11.11 - 20.50 Lakh
"
249,Maruti Swift Dzire Tour LDI," Rs. 11.11 - 20.50 Lakh
"
250,Ford Fiesta Classic 1.4 Duratorq CLXI," Rs. 6.84 - 10.19 Lakh
"
251,Maruti Zen LX," Rs. 6.84 - 10.19 Lakh
"
252,Toyota Etios GD," Rs. 3.32 Lakh
"
253,Maruti Alto 800 2016-2019 LXI," Rs. 3.32 Lakh
"
254,Maruti Alto VXi," Rs. 4.23 - 6.21 Lakh
"
255,BMW X5 3.0d," Rs. 4.23 - 6.21 Lakh
"
256,Nissan Teana XV," Rs. 97.80 Lakh - 1.13 Crore
"
257,Hyundai Grand i10 AT Asta," Rs. 97.80 Lakh - 1.13 Crore
"
258,Audi Q7 3.0 TDI Quattro Premium Plus," Rs. 5.98 - 8.62 Lakh
"
259,Mercedes-Benz GLA Class 200 CDI," Rs. 5.98 - 8.62 Lakh
"
262,Mercedes-Benz New C-Class 220," Rs. 16.45 - 20.19 Lakh
"
263,Hyundai Xcent 1.1 CRDi Base," Rs. 16.45 - 20.19 Lakh
"
264,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde," Rs. 11.11 - 20.50 Lakh
"
265,Mercedes-Benz E-Class 2015-2017 E250 Edition E," Rs. 11.11 - 20.50 Lakh
"
268,Honda Amaze S i-Vtech," Rs. 11.07 - 17.55 Lakh
"
269,Mini Cooper Convertible 1.6," Rs. 11.07 - 17.55 Lakh
"
272,BMW 3 Series 320d Sedan," Rs. 4.62 - 7.01 Lakh
"
273,Tata Xenon XT EX 4X2," Rs. 4.62 - 7.01 Lakh
"
274,Audi A3 35 TDI Attraction," Rs. 9.10 - 10.05 Lakh
"
275,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury," Rs. 9.10 - 10.05 Lakh
"
282,Mercedes-Benz New C-Class 220 CDI AT," Rs. 44.99 - 55.64 Lakh
"
283,Mahindra Scorpio S10 4WD," Rs. 44.99 - 55.64 Lakh
"
284,Volvo S80 2006-2013 D5," Rs. 13.99 - 24.89 Lakh
"
285,Hyundai Accent GLE," Rs. 13.99 - 24.89 Lakh
"
286,Hyundai Grand i10 SportZ Edition," Rs. 11.11 - 20.50 Lakh
"
287,Honda City 1.5 EXI S," Rs. 11.11 - 20.50 Lakh
"
288,Volkswagen Jetta 2007-2011 1.9 L TDI," Rs. 8.84 - 13.13 Lakh
"
289,Hyundai Creta 1.6 SX Plus Dual Tone Petrol," Rs. 8.84 - 13.13 Lakh
"
290,Toyota Etios VD," Rs. 11.11 - 20.50 Lakh
"
291,Maruti Baleno Alpha Automatic," Rs. 11.11 - 20.50 Lakh
"
294,Renault Captur 1.5 Diesel RXL," Rs. 11.11 - 20.50 Lakh
"
295,BMW 5 Series 2003-2012 GT 530d LE," Rs. 11.11 - 20.50 Lakh
"
296,Volvo V40 D3," Rs. 72.90 Lakh
"
297,Maruti Wagon R LXI BSII," Rs. 72.90 Lakh
"
298,Maruti Eeco 5 STR With AC Plus HTR CNG," Rs. 5.65 - 7.48 Lakh
"
299,Chevrolet Enjoy 1.4 LS 8," Rs. 5.65 - 7.48 Lakh
"
300,Hyundai Santro GLS I - Euro I," Rs. 5.28 - 7.21 Lakh
"
301,Hyundai EON D Lite," Rs. 5.28 - 7.21 Lakh
"
302,Hyundai Creta 1.6 SX Plus Petrol Automatic," Rs. 9.99 - 12.56 Lakh
"
303,Honda Civic 2006-2010 1.8 S AT," Rs. 9.99 - 12.56 Lakh
"
304,Hyundai i20 1.2 Asta Option," Rs. 7.52 - 13.04 Lakh
"
305,Audi Q5 30 TDI quattro Premium Plus," Rs. 7.52 - 13.04 Lakh
"
306,Maruti Ritz VXi," Rs. 66.99 - 73.79 Lakh
"
307,Mitsubishi Cedia Sports," Rs. 66.99 - 73.79 Lakh
"
308,Maruti Celerio LDi," Rs. 28.36 - 29.93 Lakh
"
309,Audi Q7 4.2 TDI Quattro Technology," Rs. 28.36 - 29.93 Lakh
"
310,Hyundai i20 2015-2017 Asta 1.2," Rs. 88.70 - 97.85 Lakh
"
311,Renault Duster 110PS Diesel RxL," Rs. 88.70 - 97.85 Lakh
"
314,Hyundai Grand i10 CRDi Magna," Rs. 7.91 - 11.69 Lakh
"
315,Tata Manza Aqua Quadrajet BS IV," Rs. 7.91 - 11.69 Lakh
"
316,Hyundai Santro Xing GLS," Rs. 8.00 - 15.60 Lakh
"
317,Maruti Ciaz 1.3 S," Rs. 8.00 - 15.60 Lakh
"
320,Mercedes-Benz New C-Class 220 CDI MT," Rs. 5.99 Lakh
"
321,Skoda Yeti Ambition 4X2," Rs. 5.99 Lakh
"
322,Ford Figo 2015-2019 1.2P Titanium MT," Rs. 7.89 - 14.40 Lakh
"
323,Skoda Octavia Ambition 1.4 TSI MT," Rs. 7.89 - 14.40 Lakh
"
328,Nissan Micra Diesel XV Premium," Rs. 40.43 Lakh
"
329,BMW 5 Series 2003-2012 523i," Rs. 40.43 Lakh
"
330,Honda CR-V 2.4L 4WD AT," Rs. 72.90 Lakh
"
331,Hyundai Creta 1.6 CRDi AT SX Plus," Rs. 72.90 Lakh
"
332,Mercedes-Benz A Class A200 CDI Sport," Rs. 11.11 - 20.50 Lakh
"
333,Maruti Ertiga VXI," Rs. 11.11 - 20.50 Lakh
"
336,Maruti Zen LXi BSII," Rs. 8.19 - 11.29 Lakh
"
337,Maruti SX4 ZXI MT BSIV," Rs. 8.19 - 11.29 Lakh
"
338,Maruti Wagon R VXI," Rs. 7.52 - 13.04 Lakh
"
339,Toyota Camry A/T," Rs. 7.52 - 13.04 Lakh
"
340,Chevrolet Beat LS," Rs. 48.00 Lakh
"
341,Toyota Fortuner 4x4 AT," Rs. 48.00 Lakh
"
342,Maruti Swift Vdi BSIII," Rs. 42.72 Lakh
"
343,Honda Mobilio S i VTEC," Rs. 42.72 Lakh
"
344,Mahindra XUV500 AT W8 FWD," Rs. 7.52 - 13.04 Lakh
"
345,Skoda Fabia 1.6 MPI Elegance," Rs. 7.52 - 13.04 Lakh
"
346,Mahindra Scorpio 1.99 S8," Rs. 7.89 - 14.40 Lakh
"
347,Skoda Rapid 1.6 TDI Ambition," Rs. 7.89 - 14.40 Lakh
"
348,Renault Duster 110PS Diesel RxZ," Rs. 7.89 - 14.40 Lakh
"
349,Toyota Etios G," Rs. 7.89 - 14.40 Lakh
"
352,Mercedes-Benz E-Class 280 CDI," Rs. 65.72 - 72.06 Lakh
"
353,Maruti Swift VXI," Rs. 65.72 - 72.06 Lakh
"
356,BMW 3 Series 320i Sedan," Rs. 8.84 - 13.13 Lakh
"
357,Hyundai Santa Fe 4X4," Rs. 8.84 - 13.13 Lakh
"
362,Honda Amaze VX O i VTEC," Rs. 11.92 - 16.65 Lakh
"
363,Chevrolet Enjoy TCDi LTZ 7 Seater," Rs. 11.92 - 16.65 Lakh
"
364,Maruti SX4 ZXI AT Leather," Rs. 11.92 - 16.65 Lakh
"
365,Maruti Ciaz RS ZDi Plus SHVS," Rs. 7.52 - 13.04 Lakh
"
366,Maruti Swift Dzire VXi," Rs. 7.52 - 13.04 Lakh
"
367,Mahindra XUV500 W6 2WD," Rs. 6.84 - 10.19 Lakh
"
368,Honda Civic 2006-2010 1.8 S MT," Rs. 6.84 - 10.19 Lakh
"
369,Toyota Etios Liva GD," Rs. 7.52 - 13.04 Lakh
"
370,Audi TT 2.0 TFSI," Rs. 7.52 - 13.04 Lakh
"
371,Volkswagen Polo 1.5 TDI Highline," Rs. 46.99 - 55.84 Lakh
"
372,Skoda Laura 1.9 TDI AT Elegance," Rs. 46.99 - 55.84 Lakh
"
373,Mahindra Renault Logan 1.5 DLE Diesel," Rs. 7.89 - 14.40 Lakh
"
374,BMW 3 Series 320d Luxury Line," Rs. 7.89 - 14.40 Lakh
"
375,Honda Jazz 1.5 S i DTEC," Rs. 72.90 Lakh
"
376,Jaguar XF 2.2 Litre Luxury," Rs. 72.90 Lakh
"
377,Maruti Swift Dzire VDI," Rs. 49.77 - 76.00 Lakh
"
378,Toyota Corolla Altis 1.8 Sport," Rs. 49.77 - 76.00 Lakh
"
379,Maruti Swift ZXI," Rs. 16.45 - 20.19 Lakh
"
380,Ford Ikon 1.3 LXi NXt," Rs. 16.45 - 20.19 Lakh
"
381,Mahindra Bolero VLX CRDe," Rs. 60.60 - 65.00 Lakh
"
382,Honda City i DTEC VX Option," Rs. 60.60 - 65.00 Lakh
"
383,Chevrolet Sail Hatchback 1.2 LS," Rs. 11.92 - 16.65 Lakh
"
384,Hyundai i20 1.2 Spotz," Rs. 11.92 - 16.65 Lakh
"
385,BMW X1 sDrive 20d Sportline," Rs. 7.04 - 11.25 Lakh
"
386,BMW X1 sDrive 20d Exclusive," Rs. 7.04 - 11.25 Lakh
"
387,Toyota Fortuner 4x2 AT," Rs. 50.80 - 53.80 Lakh
"
388,Mercedes-Benz S Class 2005 2013 S 350 L," Rs. 50.80 - 53.80 Lakh
"
391,Maruti Swift LDI Optional," Rs. 97.80 Lakh - 1.13 Crore
"
392,Mitsubishi Pajero 2.8 SFX BSIV Dual Tone," Rs. 97.80 Lakh - 1.13 Crore
"
393,Jaguar XF 2.2 Litre Executive," Rs. 28.36 - 29.93 Lakh
"
394,Skoda Octavia Ambition 2.0 TDI AT," Rs. 28.36 - 29.93 Lakh
"
397,Mahindra XUV500 W10 2WD," Rs. 25.56 Lakh
"
398,Nissan Terrano XL 85 PS," Rs. 25.56 Lakh
"
399,Hyundai Verna 1.6 SX CRDi (O)," Rs. 10.00 - 14.65 Lakh
"
400,BMW 5 Series 2013-2017 530d M Sport," Rs. 10.00 - 14.65 Lakh
"
401,Mahindra Scorpio S4 Plus," Rs. 72.90 Lakh
"
402,Hyundai Verna 1.6 CRDi SX," Rs. 72.90 Lakh
"
403,Chevrolet Aveo U-VA 1.2 LT," Rs. 11.07 - 17.55 Lakh
"
404,Mahindra Bolero ZLX BSIII," Rs. 11.07 - 17.55 Lakh
"
405,Hyundai Xcent 1.2 Kappa S," Rs. 9.95 - 12.16 Lakh
"
406,BMW 3 Series 320d Prestige," Rs. 9.95 - 12.16 Lakh
"
407,Hyundai EON Sportz," Rs. 72.90 Lakh
"
408,Honda Accord 2.4 MT," Rs. 72.90 Lakh
"
409,Mahindra Xylo E8," Rs. 11.79 - 16.93 Lakh
"
410,BMW 3 Series 320d," Rs. 11.79 - 16.93 Lakh
"
411,Honda City V MT," Rs. 72.90 Lakh
"
412,Mahindra Bolero DI BSII," Rs. 72.90 Lakh
"
413,Maruti Esteem Vxi - BSIII," Rs. 9.95 - 12.16 Lakh
"
414,Hyundai Santro LS zipPlus," Rs. 9.95 - 12.16 Lakh
"
415,Hyundai i20 Sportz Option," Rs. 11.11 - 20.50 Lakh
"
416,Volkswagen Jetta 2013-2015 2.0L TDI Highline," Rs. 11.11 - 20.50 Lakh
"
417,Hyundai Xcent 1.2 Kappa S Option," Rs. 11.56 - 19.40 Lakh
"
418,BMW 5 Series 2013-2017 520d Luxury Line," Rs. 11.56 - 19.40 Lakh
"
