filename,label,transformations
cat\cat_(62).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(7).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(8).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
cat\cat_(9).jpg,cat,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (1).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (10).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (11).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (12).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (13).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (14).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (15).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (16).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (17).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (18).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (19).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (20).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (21).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (22).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (23).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (24).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (25).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (26).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (27).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (28).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (29).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (3).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (30).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (31).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (32).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (33).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (34).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (35).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (36).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (37).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (38).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (39).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (4).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (40).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (41).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (42).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (43).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (44).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (45).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (46).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (47).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (48).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (49).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (5).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (50).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (51).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (52).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (53).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (54).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (55).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (56).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (57).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (58).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (59).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (6).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (60).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (7).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (8).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
dog\Dog_ (9).jpg,dog,"Grayscale, Resize(50,50), RandomHorizontalFlip, RandomRotation(30), ColorJitter(0.5), ToTensor"
